t,x,y,yaw
0,-2.1197,0.7924,-2.0373
0.068,-2.1218,0.7747,-2.0212
0.136,-2.0943,0.8012,-2.0044
0.204,-2.0636,0.858,-1.9848
0.272,-2.0343,0.9191,-1.9601
0.341,-2.008,0.9842,-1.9299
0.409,-1.9868,1.0438,-1.8959
0.478,-1.9697,1.0981,-1.8571
0.547,-1.9567,1.1458,-1.8142
0.615,-1.9474,1.1873,-1.768
0.683,-1.9413,1.2227,-1.718
0.751,-1.9376,1.2532,-1.6644
0.819,-1.936,1.2782,-1.6074
0.887,-1.9358,1.298,-1.5472
0.972,-1.937,1.3162,-1.4675
1.042,-1.9383,1.3259,-1.3987
1.11,-1.9395,1.3317,-1.3347
1.179,-1.9402,1.3341,-1.2742
1.247,-1.9401,1.3339,-1.2189
1.315,-1.9391,1.3314,-1.1687
1.383,-1.937,1.3269,-1.1223
1.451,-1.9338,1.3206,-1.0804
1.519,-1.9441,1.3018,-1.0395
1.587,-1.9575,1.2808,-0.9982
1.655,-1.9709,1.2599,-0.9569
1.723,-1.9837,1.2399,-0.9156
1.791,-1.9785,1.2311,-0.8743
1.859,-1.9831,1.2357,-0.8348
1.927,-1.993,1.2461,-0.7961
1.995,-2.0033,1.2564,-0.7576
2.063,-1.9922,1.246,-0.7221
2.131,-1.9781,1.2339,-0.687
2.199,-1.9749,1.2327,-0.653
2.267,-1.9914,1.2449,-0.6213
2.335,-2.0072,1.2557,-0.5898
2.403,-1.9992,1.2486,-0.5611
2.471,-1.9863,1.2407,-0.5326
2.539,-1.9856,1.2427,-0.5053
2.607,-2.0057,1.2535,-0.4803
2.675,-2.0238,1.2618,-0.4556
2.743,-2.016,1.2563,-0.4336
2.811,-2.0054,1.2515,-0.4117
2.879,-2.0104,1.2562,-0.3913
2.947,-2.0331,1.2653,-0.3728
3.015,-2.0509,1.2702,-0.3549
3.083,-2.0427,1.2666,-0.3395
3.151,-2.0339,1.2635,-0.3241
3.219,-2.0462,1.27,-0.3107
3.287,-2.0698,1.2774,-0.2986
3.355,-2.0828,1.2791,-0.2873
3.423,-2.074,1.2765,-0.2781
3.492,-2.0748,1.2659,-0.268
3.56,-2.0892,1.2453,-0.2569
3.628,-2.104,1.2253,-0.2459
3.696,-2.1281,1.2269,-0.2361
3.764,-2.1513,1.2324,-0.2261
3.849,-2.1605,1.2326,-0.2156
3.917,-2.1512,1.2306,-0.2088
3.985,-2.143,1.2289,-0.202
4.054,-2.1456,1.2311,-0.1962
4.122,-2.1694,1.2357,-0.1925
4.19,-2.1917,1.2401,-0.1886
4.258,-2.208,1.2418,-0.1851
4.326,-2.1988,1.2399,-0.1842
4.412,-2.1878,1.2364,-0.1831
4.48,-2.1991,1.2173,-0.1807
4.548,-2.2141,1.2001,-0.1783
4.616,-2.2345,1.203,-0.1767
4.684,-2.254,1.2065,-0.1749
4.752,-2.252,1.2047,-0.1751
4.82,-2.2402,1.2026,-0.1763
4.888,-2.2304,1.2015,-0.1776
4.956,-2.2456,1.205,-0.1814
